15	994.1	488.3
17	990.5	488.9
14	993.5	498.3
19	992.7	469.3
20	981.9	473.5
22	997.9	467.3
23	988.7	455.3
19	983.7	456.5
14	983	452.6
24	986.4	450.7
25	995.5	447.4
26	985.9	442.5
27	991.5	430.3
28	991.6	431.8
22	998.5	434
3	998.9	430.5
3	980.1	433.5
27	989.1	421.3
29	995	438
30	991.4	420.2
3	986.5	425.8
31	992.9	411
14	989.2	409.2
32	993.8	393.8
33	991.8	394.6
28	987.9	391.5
34	985.2	387.8
14	988.4	385.3
19	998.3	383.5
35	996.8	374.5
36	996	370.7
14	998.7	368
19	999	365.2
32	984	362.8
17	997	359
15	998.2	344.7
32	980.7	357.3
15	980.1	341.1
8	984.3	341.6
19	990.3	331.6
8	985.3	328.9
20	984.2	329.3
38	980.4	328
24	993.6	337.9
24	996.5	332.4
40	995.6	321.1
41	988.3	311.2
28	993.8	307.5
44	997	291
14	995.9	290.7
45	995.9	282.6
46	989.2	288.5
30	980.6	290.8
8	985.7	275.8
41	995.4	275.1
8	999.9	277.6
0	998.5	260.1
8	982.8	262
48	999	260.4
47	987	250.4
49	989.9	253.4
19	984.7	248.1
5	995.2	255.9
51	995.6	244.5
39	984	244.5
52	982.1	240.7
14	992.3	237.1
53	982.4	232.6
27	985.6	226.5
8	988.9	232.8
35	991.3	230
28	992.3	230
28	997	220.4
14	996.5	218
54	999.5	206.5
19	985.9	204
55	998.5	195.4
19	999.7	193.2
56	991	197.4
53	985.2	191.5
57	994.2	185.3
15	982.9	173.9
15	998	174.6
59	993.9	172.6
60	985.6	169.4
8	992.4	168.1
30	989.7	168.1
37	998	167.2
15	995.8	165.4
57	987	151.6
52	981.7	141.8
28	999.7	141.7
28	998	136.8
63	987.4	129.4
64	996.5	134.2
8	984.4	128.8
5	994	132.3
65	994.6	125.7
59	980.3	122.5
67	995.7	106.2
53	991.3	108.4
19	983	107.3
68	985.3	110.9
69	990.5	118.9
30	986.9	87.1
70	992.6	97.3
52	989.7	84.7
69	992.2	89.3
70	991.4	85.7
8	999.6	83.9
71	982.4	91.8
65	993.7	95.6
45	991	62
5	990.7	79.3
72	993	66
19	997.4	67.4
73	989.4	54.4
74	989	47.6
77	986.2	33.9
28	990.8	38.1
78	998	36.8
18	998.3	38.6
47	984	25.3
53	996.6	25.1
76	997.5	22.5
50	990.8	20.3
80	993	18
53	991.7	18
80	994.5	16.8
28	992.1	5.2
81	999.7	2.7
51	983.2	15.1
82	994.4	12
83	979.8	10.7
84	967.5	11.5
85	965.5	15.1
8	964.5	14.8
86	962.4	15.5
15	961	2
8	966.6	23.8
8	974.6	24.1
8	971.3	31.6
65	974.4	32.1
43	979.3	33.7
42	971.6	38.6
28	973.6	53.6
20	978	49.8
