417	100	2	2
126	344	1	1
342	347	1	1
789	275	1	1
370	374	2	2
641	267	1	1
528	343	4	4
384	74	2	2
735	159	1	1
676	128	1	1
534	184	1	1
95	397	1	1
428	430	1	1
198	230	1	1
151	166	1	1
301	18	1	1
377	342	12	12
528	235	3	3
616	204	2	2
734	60	6	6
415	92	1	1
184	351	1	1
413	125	1	1
769	25	1	1
435	195	1	1
748	248	1	1
441	378	2	2
117	150	1	1
129	157	8	8
21	50	3	3
457	78	1	1
469	50	1	1
233	349	1	1
21	77	1	1
596	488	3	3
236	303	1	1
213	109	4	4
864	265	1	1
316	253	1	1
500	234	1	1
370	466	1	1
14	143	1	1
726	143	1	1
118	248	1	1
553	474	1	1
985	447	2	2
879	453	1	1
987	77	3	3
568	336	1	1
679	73	1	1
321	349	1	1
606	26	1	1
757	308	1	1
99	296	4	4
838	329	1	1
251	392	1	1
762	300	5	5
71	107	1	1
476	406	2	2
592	183	2	2
55	398	1	1
473	254	1	1
869	68	2	2
275	180	1	1
806	148	3	3
841	254	3	3
341	266	1	1
928	108	1	1
886	174	4	4
251	446	1	1
157	55	3	3
719	369	23	23
544	462	2	2
469	308	14	14
338	381	5	5
639	412	2	2
202	445	2	2
276	346	3	3
878	235	1	1
392	139	2	2
404	61	1	1
735	351	2	2
273	439	1	1
28	415	1	1
346	475	2	2
987	309	1	1
584	54	1	1
487	443	1	1
920	78	1	1
850	339	1	1
168	374	1	1
319	315	1	1
545	486	1	1
838	437	15	15
594	207	1	1
307	394	2	2
110	56	1	1
928	313	1	1
432	44	1	1
318	59	1	1
414	144	1	1
679	373	6	6
920	101	2	2
186	109	2	2
44	57	1	1
786	353	1	1
845	489	3	3
473	124	1	1
711	273	1	1
343	407	5	5
175	279	1	1
416	186	6	6
618	313	1	1
721	55	6	6
264	13	1	1
819	334	3	3
931	324	6	6
249	106	5	5
631	470	2	2
223	13	1	1
249	221	1	1
35	219	4	4
23	98	1	1
423	319	1	1
755	93	2	2
891	112	1	1
83	107	1	1
117	481	1	1
548	28	3	3
139	101	1	1
161	278	1	1
454	439	1	1
505	480	1	1
782	125	1	1
25	122	1	1
722	398	1	1
919	364	2	2
513	225	1	1
638	147	1	1
47	77	2	2
396	373	4	4
802	275	2	2
932	389	1	1
876	483	7	7
869	118	1	1
154	208	4	4
497	110	1	1
732	40	1	1
498	201	1	1
107	26	1	1
424	37	1	1
548	164	2	2
90	63	1	1
108	444	1	1
367	157	1	1
242	180	7	7
94	361	2	2
627	81	1	1
437	436	1	1
884	246	9	9
133	287	2	2
342	134	2	2
723	73	1	1
724	137	1	1
490	372	1	1
143	405	1	1
805	162	2	2
414	287	1	1
422	274	1	1
660	95	3	3
681	198	1	1
912	106	1	1
580	38	2	2
86	248	1	1
911	169	1	1
484	474	1	1
148	245	1	1
229	124	1	1
553	16	1	1
902	233	1	1
915	35	5	5
181	48	1	1
628	56	1	1
88	235	2	2
251	30	1	1
440	354	1	1
779	45	1	1
455	24	1	1
915	240	3	3
61	413	1	1
251	84	1	1
140	36	2	2
707	462	1	1
298	86	1	1
889	369	1	1
737	200	1	1
219	286	1	1
563	422	1	1
36	102	1	1
66	229	2	2
748	421	2	2
325	311	1	1
67	16	2	2
264	122	1	1
767	38	2	2
162	38	7	7
152	281	1	1
981	354	1	1
495	375	1	1
594	218	1	1
862	88	1	1
468	264	2	2
412	376	1	1
943	58	1	1
797	171	1	1
441	121	2	2
314	233	2	2
172	325	1	1
476	49	1	1
73	222	2	2
828	52	1	1
670	332	1	1
750	73	1	1
868	312	1	1
734	205	1	1
251	356	1	1
713	256	1	1
790	488	2	2
503	38	2	2
669	299	1	1
714	230	1	1
91	85	3	3
431	374	2	2
624	210	1	1
698	288	1	1
232	98	1	1
188	265	1	1
215	475	1	1
607	417	3	3
441	468	1	1
613	220	1	1
498	359	1	1
807	122	1	1
615	154	7	7
555	392	1	1
480	432	1	1
725	426	1	1
749	466	1	1
801	14	1	1
984	148	1	1
192	299	1	1
320	295	1	1
904	377	8	8
360	339	1	1
953	275	1	1
849	300	2	2
15	236	1	1
444	220	2	2
573	284	1	1
831	121	2	2
459	236	1	1
60	137	1	1
450	352	1	1
16	215	1	1
887	100	1	1
972	276	4	4
435	216	3	3
683	262	1	1
845	461	2	2
196	137	22	22
385	173	3	3
497	195	1	1
291	435	1	1
804	71	1	1
377	190	1	1
894	272	1	1
129	418	1	1
820	139	3	3
292	21	1	1
408	153	5	5
635	158	2	2
433	342	2	2
859	358	2	2
933	401	1	1
924	172	1	1
550	273	1	1
685	386	1	1
188	48	1	1
165	296	1	1
935	441	2	2
895	481	1	1
661	382	6	6
801	334	1	1
949	157	1	1
643	186	1	1
689	258	6	6
512	317	4	4
666	460	1	1
617	455	1	1
280	63	4	4
524	465	1	1
105	216	1	1
834	420	1	1
39	213	1	1
824	303	1	1
702	72	2	2
534	120	1	1
140	177	3	3
222	474	1	1
259	273	1	1
274	407	1	1
756	479	2	2
873	366	1	1
201	64	1	1
969	381	2	2
373	320	1	1
950	330	2	2
370	23	1	1
604	350	1	1
253	370	1	1
894	132	2	2
