sp,n,factor,Wright_WD,growthsurv,pca2,pft3,pft5,altwd,RGR95,sm,lma,ldmc,N_shade,N_sun,P_shade,P_sun,wind
turpoc,145,NA,0.406660348,-2.765408702,0.754331351,1,2,0.355,0.334718508,0.007463333,38.3513149,0.223756975,2.629854527,1.977508713,1.277291781,0.963003342,0
ery1co,146,NA,0.500062845,-0.168999259,-0.858048856,2,4,0.288,0.07364519,NA,19.38637896,0.176989917,3.664874764,NA,2.38985878,NA,0
tremsp,147,NA,NA,NA,NA,NA,NA,NA,0.505647571,NA,NA,NA,NA,NA,NA,NA,0
ade1tr,148,-24.27725458,0.647727905,-0.692184416,-0.404221877,2,5,0.604,0.159026424,NA,37.58647386,0.329653449,2.969094191,2.862484016,1.393658478,1.323367763,#N/A
ingasa,149,-10.57727291,0.61227693,-0.965766923,0.614164337,1,2,0.581,0.170971537,0.734724,51.31771185,0.36398677,4.166845774,3.700255838,2.175183726,1.36531175,0
ocotce,150,-17.77720478,0.610495929,0.670167905,0.740494452,2,5,0.454,0.146651865,0.074365,61.71330636,0.366378873,3.184158539,3.637793582,1.086764846,1.329074939,0
guargr,151,NA,0.579283823,0.743201911,1.27728438,2,3,0.545,0.106845466,0.397903333,43.83007417,0.251613733,3.174429202,3.472402237,1.723435743,2.152411357,0
ingapu,152,NA,0.500448708,-1.698094126,0.63461391,1,2,0.56,0.251563373,0.43736,73.31235484,0.430240521,2.500800791,2.813013435,0.949187305,1.072771442,0
nectgl,153,NA,0.360426536,-1.263547349,0.317978972,1,2,0.572,0.171412312,NA,55.5502039,0.356591357,2.344999007,2.660839814,1.052530844,1.551483816,0
swars2,154,NA,0.783510667,NA,NA,NA,NA,NA,0.049963665,1.6963725,87.78377163,0.443012854,2.912148576,2.888144382,0.745329234,0.94598106,0
micoar,155,-52.67740089,0.696562594,-3.401636853,-0.950569121,1,2,0.589,0.223624812,NA,56.4733648,0.285984778,2.063283738,2.052419985,0.843790727,0.934479805,0
ficuc2,156,NA,NA,NA,NA,NA,NA,NA,0.146127491,NA,NA,NA,NA,1.72048649,NA,1.152168226,0
ficuin,157,NA,0.33596969,-1.34145535,1.054571979,1,2,0.377,0.214762717,0.001085,62.02392548,0.248660816,2.426160586,NA,1.340333005,NA,0
ormoma,158,NA,0.649869585,2.656425618,1.461679535,3,1,0.59,0.081078496,0.328155,49.94701859,0.322402418,2.431049347,2.423731089,0.885032035,1.044797219,1
termam,159,NA,0.665053959,0.294285302,2.606784489,2,3,0.674,0.180984687,0.00209,59.7084417,0.361216258,2.554234356,1.801414281,1.073067492,1.18849016,0
tri2pa,160,-0.077245483,0.57316595,0.315230818,0.386009808,2,5,0.698,0.104510874,0.07541375,50.86817262,0.328783635,2.849838016,3.035747346,1.767482549,1.69939901,0
ficubu,161,NA,0.436599741,NA,NA,NA,NA,NA,0.237656368,NA,21.91503709,0.18422413,2.562994874,NA,1.696075169,NA,0
tet4jo,162,NA,0.590028523,-1.225201641,2.031654309,1,3,0.62,NaN,NA,NA,NA,NA,2.17629391,NA,1.602408221,0
pse1se,163,NA,0.295551095,-1.700984798,1.482875436,1,2,0.212,0.214474161,0.094815,46.26507829,0.175107839,1.814230561,2.049498371,1.398341085,1.137998159,1
tocopi,164,NA,0.635174452,-0.20246296,2.468665631,2,3,0.62,0.115898407,1.285092292,52.3713194,0.218504523,2.208277711,2.343527277,1.352347995,1.076210158,0
sch2mo,165,NA,0.388236479,-0.59496898,1.185472049,2,3,0.454,NaN,NA,NA,NA,NA,NA,NA,NA,0
pochse,166,NA,0.475417008,0.477777458,2.062123292,2,3,0.42,0.075536875,0.2346,52.14654979,0.283582724,2.413551944,2.293613911,1.133182151,1.276524924,0
ocotpu,167,-20.07727517,0.389102896,-1.564362633,1.066245269,1,2,0.432,0.198509272,0.0987,49.35940661,0.336422339,2.47875237,3.131779113,0.91466909,1.174547891,0
cupasy,168,9.5227774,0.66539857,3.423106565,1.171344698,3,1,0.609,0.091179795,0.237644,54.78759272,0.399142761,2.548539185,2.807833834,1.475313914,1.71776165,0
ingami,169,NA,0.457979205,-1.161422696,0.605639032,1,2,0.425,0.068115364,NA,NA,NA,NA,3.073365706,NA,1.344156334,0
ingaru,170,NA,0.606474897,-0.755575565,0.413266073,1,2,0.581,0.163065738,NA,57.90627107,0.392627798,2.720990779,NA,1.299651904,NA,0
cuparu,171,NA,0.60424764,1.449624368,0.816786998,3,1,0.609,0.113202967,0.602953333,64.5838016,0.368286815,1.948120481,1.703397527,1.115641473,0.930535699,0
poutfo,172,NA,NA,0.127240938,2.313249203,2,3,0.714,0.069018427,NA,59.22679254,0.368198238,2.297662884,2.295592968,0.869118676,0.88729555,0
vochfe,173,NA,0.388750068,-1.726393425,1.284648942,1,2,0.41,0.342243138,0.007367,60.04559612,0.288107048,1.813681261,1.836612241,0.689838601,0.788417396,1
ast1st,174,NA,NA,NA,NA,NA,NA,NA,0.080915672,3.278908,33.71544167,0.363969432,3.340657122,NA,1.412129731,NA,#N/A
cou2cu,175,10.52277239,0.622066058,1.075374795,0.003041147,3,1,0.618,0.086015188,0.042151,45.34726905,0.238512836,2.526224257,NA,1.087599448,NA,1
micoho,176,NA,0.589611472,-0.554203644,0.917681532,2,3,0.619,0.156748791,NA,63.90200045,0.274285713,1.597935801,1.79886617,0.790977117,0.762365405,0
coccco,177,NA,0.788537241,2.262755932,-0.224821629,3,1,0.672,0.067186249,NA,37.46160186,0.244852865,2.912174175,2.485271931,1.307165171,1.086322099,0
spacme,178,NA,NA,0.447683322,0.939716336,2,3,0.595,NaN,0.004165,49.33692965,0.238584134,2.956899818,2.58036177,1.580092468,1.495159477,0
micoel,179,NA,0.69720642,-0.820779733,-0.480566194,1,2,0.47,0.118932939,NA,70.4777603,0.313260639,2.327225155,NA,0.676185561,NA,0
cupaci,180,NA,0.500160142,0.036652484,0.045666049,2,5,0.5,0.227697039,0.315865,69.79096426,0.355185431,2.159362615,2.220870972,1.233412243,1.587030194,0
eugega,181,13.92279804,0.6362659,1.923440027,-1.386405433,3,1,0.726,0.078262699,0.1801,63.76713868,0.359013468,2.046425211,1.849847467,0.828273005,0.811435009,0
tri4ga,182,NA,0.296052163,-2.37959649,0.194081592,1,2,0.27,0.346027622,0.001345,NA,NA,NA,NA,NA,NA,0
laetpr,183,NA,0.577446594,-1.234955844,2.017557312,1,3,0.647,0.205573611,NA,45.34726905,0.342023664,2.637358392,1.985028662,1.15816428,0.940552111,0
lafopu,184,NA,0.673760774,-0.756923739,2.488593915,1,3,0.705,NaN,0.006833333,78.44459429,0.427772695,2.265523931,2.030874819,1.217592454,1.141290013,0
entesc,185,NA,0.635958549,-0.055596238,2.423956014,2,3,0.699,0.118674451,0.0951,NA,0.379925201,3.253319572,3.140553588,0.269294746,1.02862926,0
pterof,186,NA,0.525703965,-1.131140086,0.713380649,1,2,0.38,0.110034681,NA,NA,NA,NA,NA,NA,NA,0
