sp,n,factor,Wright_WD,growthsurv,pca2,pft3,pft5,altwd,RGR95,sm,lma,ldmc,N_shade,N_sun,P_shade,P_sun,wind
clidde,274,NA,0.638701299,-3.156509492,-2.058673161,1,2,0.671,0.139701116,NA,33.82782648,0.349359594,1.855165585,2.06082653,0.88873081,1.084873008,0
acalma,275,NA,0.404127546,-2.292844925,-0.688486442,1,2,0.3,0.229624096,NA,30.39384631,0.210595748,4.202644393,4.155599117,2.003796335,2.169116489,0
urerba,276,NA,NA,-2.683012754,-1.118483596,1,2,0.275,0.139701116,NA,29.9393122,0.120200037,4.143469086,NA,2.895613678,NA,0
psycg2,277,NA,NA,NA,NA,NA,NA,NA,0.022152413,NA,59.56394695,0.266920254,1.506710887,NA,0.937500701,NA,1
vismbi,278,NA,0.461491043,-0.357386954,0.337643495,2,5,0.491,0.109189082,NA,52.89578182,0.289162924,1.858650522,NA,1.017679102,NA,0
stemgr,279,NA,0.482626224,NA,NA,NA,NA,NA,NaN,0.028116667,28.09620139,0.173319051,NA,NA,NA,NA,0
acacme,280,NA,NA,0.239796805,1.099479084,2,3,0.678,0.181354492,NA,NA,0.336027132,3.496527127,NA,1.564697053,NA,#N/A
ormoam,281,NA,0.64945081,0.608369416,0.827546267,2,3,0.59,0,0.39428,87.88491796,0.428852997,1.667371,NA,0.618808499,NA,0
tri1gi,282,NA,0.541938859,-0.398055951,-0.382686676,2,5,0.45,0.132646415,NA,37.23683225,0.168842054,2.897016808,NA,1.629469197,NA,0
psycfu,283,NA,NA,NA,NA,NA,NA,NA,NaN,0.012426667,NA,NA,NA,NA,NA,NA,0
cha2sc,284,11.22278443,NA,1.849951887,0.312680414,3,1,0.756,0.101027858,NA,66.90982652,0.381354651,1.573967902,1.457638117,0.713377942,0.644282704,0
ternte,285,NA,0.62675041,-0.818860781,1.116004331,1,3,0.618,NaN,NA,NA,NA,NA,NA,NA,NA,0
annoha,286,NA,0.493632181,NA,NA,NA,NA,NA,NaN,0.052980208,NA,NA,NA,NA,NA,NA,#N/A
psycac,287,NA,0.491597907,-1.864570971,-1.841855322,1,2,0.527,0.07684947,0.014916,29.29497265,0.290510123,2.734342575,NA,1.034517353,NA,0
elaeol,288,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,0
ardigu,289,NA,NA,0.883073168,-0.525386888,3,1,0.62,0.084403442,NA,59.45156215,0.264560708,1.812380799,NA,0.932009431,NA,#N/A
vismma,290,NA,0.539254394,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,0
maclti,291,NA,0.689681551,-0.877151747,1.725930267,1,3,0.792,NaN,NA,NA,NA,NA,2.170486581,NA,1.491239761,1
psycg1,292,NA,NA,-0.819505403,-2.174050533,1,4,0.525,0.119667675,NA,34.2773657,0.198152901,2.171906471,NA,1.363712106,NA,0
cyphha,293,NA,NA,-2.119327916,-1.180393832,1,2,0.422,0.119177881,NA,43.85255114,0.206911549,3.2706734,NA,1.356250978,NA,0
boropa,294,NA,NA,0.334571642,-0.13091213,2,5,0.738,0.015947374,NA,59.67633176,0.402686753,1.799733582,NA,0.676585386,NA,0
nects3,295,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,0
caseco,296,NA,0.617290009,1.420059504,0.921061233,3,1,0.63,0.070148542,0.030384167,63.61916536,0.405031391,2.217855286,NA,0.780897573,NA,0
koanwe,297,NA,NA,-0.141877657,-1.029157824,2,4,0.668,0.069930075,NA,NA,NA,NA,NA,NA,NA,0
clidse,298,NA,NA,NA,NA,NA,NA,NA,NaN,NA,29.44481906,0.234154212,1.883879999,NA,0.869244753,NA,1
psycra,299,NA,0.621581137,-0.825666451,-1.047428762,1,4,0.525,0.026105495,0.003340333,34.83928973,0.235884489,3.305585764,NA,1.050597749,NA,0
lopida,300,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,0
ingam1,301,NA,0.582073728,-0.178442538,0.477008794,2,5,0.581,0,NA,30.34389751,0.3175369,3.205487927,NA,1.334465619,NA,0
ficuc1,302,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,0
anaxpa,303,NA,NA,1.408634797,-0.847706174,3,1,0.53,0.076929362,NA,60.50797932,0.335946473,2.491735481,NA,0.941064671,NA,#N/A
schipa,304,NA,0.49026262,-0.111982312,2.284630433,2,3,0.346,0.182901612,NA,29.75949652,0.272821466,3.852920911,NA,1.397204153,NA,0
solaar,305,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,0
xyl2ch,306,NA,NA,NA,NA,NA,NA,NA,NaN,0.0088765,NA,NA,NA,NA,NA,NA,0
uniden,307,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,0
hamepa,308,NA,0.39643937,-0.309000288,-0.047965881,2,5,0.763,0.024524135,NA,NA,NA,NA,NA,NA,NA,0
leandi,309,NA,NA,-0.820858153,-0.479000295,1,2,0.671,0.061391838,NA,31.46774556,0.209189926,2.164760799,NA,0.909252933,NA,0
micopr,310,NA,0.504641355,-0.488550086,0.547995412,2,5,0.688,0.260700892,NA,63.04787593,0.328695211,1.823619098,NA,0.63071825,NA,0
banagu,311,NA,0.48080701,-1.553185331,0.360712163,1,2,0.61,0.151247485,NA,NA,NA,NA,NA,NA,NA,0
solaas,312,NA,NA,-2.346475144,-0.968210236,1,2,0.422,0.376305843,NA,NA,NA,NA,3.404263973,NA,1.702131382,0
ficuci,313,NA,NA,NA,NA,NA,NA,NA,0.170747679,NA,21.91503709,0.208387186,2.735661133,NA,1.955058845,NA,0
psycb1,314,NA,NA,NA,NA,NA,NA,NA,0.098387475,NA,NA,NA,NA,NA,NA,NA,0
ficupe,315,NA,NA,NA,NA,NA,NA,NA,0.127886066,NA,NA,NA,NA,NA,NA,NA,0
tremin,316,NA,NA,NA,NA,NA,NA,NA,0.512127875,NA,NA,NA,NA,NA,NA,NA,0
psycps,317,NA,0.52720343,-0.543461324,-0.009730072,2,5,0.525,0.097480432,0.00403,NA,NA,NA,NA,NA,NA,0
cecrlo,318,NA,0.26426833,-2.13129061,0.012319918,1,2,0.336,0.351545789,NA,33.37828726,0.203197979,3.52372533,3.060393382,1.449785544,2.046691986,0
rauvli,319,NA,0.484061113,-0.116001176,-0.006087751,2,5,0.474,0.158910512,NA,31.24297595,0.178241557,2.880483389,NA,1.144378748,NA,0
tremmi,320,NA,0.402906778,-4.417924323,-0.031226935,1,2,0.319,0.525473481,0.0007936,27.98381659,0.244367015,3.222739429,3.437060587,1.496000291,1.671830218,0
verbgi,321,NA,0.238919739,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,0
micodo,322,NA,NA,-0.486704802,0.071522512,2,5,0.619,0.123773857,NA,42.48145651,0.286741463,1.921209857,NA,0.81682083,NA,0
carica,323,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,#N/A
oreoca,324,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,0
cestra,325,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,#N/A
pipelo,326,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,0
jac2sp,327,NA,0.066561906,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,0
